id,name,status,created_at,updated_at
eval-task-40k2ig-1784100661,i13_s875_dpo_rec_balhard_lowdose_v1_step25_V_eval_20260715153057,,2026-07-15T07:31:01Z,
eval-task-fgmypw-1784116120,i13_s875_posrec_pa_ansretkl_v1_step100_V1_eval_20260715194837,,2026-07-15T11:48:41Z,
eval-task-a1c3jq-1784120437,seed_teacher_r64_lr1e4_e3_V1_eval_20260713114448_copy,,2026-07-15T13:00:37Z,
eval-task-kb6nyy-1784126461,wc-对齐任务2,,2026-07-15T14:41:02Z,
eval-task-t51r8o-1784169855,seed_teacher_cotfix_v3_r64_lr1e4_ep3_V1_eval_20260716104410,,2026-07-16T02:44:15Z,
eval-task-6973bh-1784186715,seed_teacher_cotfix_v3_r64_lr1e4_ep3_V1_eval_20260716104410_copy,,2026-07-16T07:25:15Z,
eval-task-m25qft-1784194366,i23_userres_r80_s625_V1_eval_20260716173243,,2026-07-16T09:32:47Z,
eval-task-lsxmev-1784199740,i23_userres_r80_s500_V1_eval_20260716190207,,2026-07-16T11:02:20Z,
eval-task-olteal-1784217662,e3_userres_r80_retkl_v3_s800_V1_eval_20260717000053,,2026-07-16T16:01:02Z,
eval-task-m5cv4y-1784219559,检查点09978懂世界任务续训,,2026-07-16T16:32:39Z,
eval-task-stprws-1784272038,e3_userres_r80_retkl_v3_s800_V1_eval_20260717000053_copy,,2026-07-17T07:07:19Z,
eval-task-smlftk-1784273025,检查点09978懂世界任务续训25p配比,,2026-07-17T07:23:46Z,
eval-task-obyyoa-1784296905,i23_userres_r80_s5625_V1_eval_20260717220142,,2026-07-17T14:01:46Z,
eval-task-htdqzc-1784309337,i23_userres_r80_s53125_V1_eval_20260718012851,,2026-07-17T17:28:57Z,
eval-task-it0fct-1784354900,e3_userres_r80_retkl_v3_s800_V1_eval_20260717000053_copy_copy,,2026-07-18T06:08:20Z,
eval-task-z9g12b-1784392471,e3_userres_r80_retkl_v3_s800_V1_eval_20260717000053_copy_copy,,2026-07-18T16:34:32Z,
eval-task-yz5g9l-1784425216,wc-sota对齐2_V2_eval_20260719093936,,2026-07-19T01:40:16Z,
eval-task-g4y7us-1784436397,检查点09978懂世界任务续训_V2_eval_20260719124626,,2026-07-19T04:46:37Z,
eval-task-wr6v4y-1784437512,检查点09978懂世界任务续训_V3_eval_20260719130507,,2026-07-19T05:05:13Z,
eval-task-1i7jj3-1784437859,检查点09978懂世界任务续训_V4_eval_20260719131052,,2026-07-19T05:10:59Z,
eval-task-4lmbg1-1784446875,检查点09978懂世界任务续训_V5_eval_20260719154106,,2026-07-19T07:41:16Z,
eval-task-8wrnt7-1784509895,检查点09978懂世界任务续训_V6_eval_20260720091127,,2026-07-20T01:11:36Z,
eval-task-qa4f8w-1784530136,铁子哥1004检查点复现懂世界增强_V1_eval_20260720144851,,2026-07-20T06:48:57Z,
eval-task-ey93cy-1784530408,铁子哥1004检查点复现懂世界增强_V2_eval_20260720145322,,2026-07-20T06:53:28Z,
eval-task-5kj67d-1784530748,铁子哥1004检查点复现懂世界增强_V3_eval_20260720145902,,2026-07-20T06:59:08Z,
eval-task-vjt6ba-1784544584,复现I13_lora,,2026-07-20T10:49:44Z,
eval-task-huvs98-1784547386,懂世界_添加懂物料r11_V1_eval_20260720193611,,2026-07-20T11:36:26Z,
eval-task-bdu25q-1784560715,i32_task_restore_r128_step128_svd_bf16_V1_eval_20260720231823,,2026-07-20T15:18:35Z,
eval-task-fi76kx-1784606634,检查点09978懂世界任务续训_V7_eval_20260721120347,,2026-07-21T04:03:54Z,
eval-task-ol0sje-1784615810,检查点09978懂世界任务续训_V2_eval_20260721143629,,2026-07-21T06:36:50Z,
eval-task-pmqcjw-1784634890,i31_r96_i23_l010_r128_bf16_V1_eval_20260721195446,,2026-07-21T11:54:50Z,
eval-task-uk1z7b-1784650311,检查点校准102复测_V1_eval_20260722001111,,2026-07-21T16:11:51Z,
eval-task-imaw3z-1784686701,铁子哥1004检查点复现懂世界增强_V4_eval_20260722101805,,2026-07-22T02:18:22Z,
eval-task-lhfyku-1784692591,铁子哥1004检查点复现懂世界增强_V5_eval_20260722115626,,2026-07-22T03:56:31Z,
eval-task-9nepj1-1784698215,i35_r96_video_boundary_retkl_r112_V1_eval_20260722133009,,2026-07-22T05:30:15Z,
eval-task-tsds2d-1784716301,i36_i35_user_expand_retkl_r128_step4125_V1_eval_20260722183137,,2026-07-22T10:31:41Z,
eval-task-imrwas-1784736106,i35本地复现_V1_eval_20260723000133,,2026-07-22T16:01:46Z,
eval-task-0yco4c-1784766273,i37_i35_strict_future_rec_r120_V1_eval_20260723082428,,2026-07-23T00:24:34Z,
eval-task-8lnsxp-1784776982,检查点-复现I13_lora-混合user样本重训_V1_eval_20260723112241,,2026-07-23T03:23:02Z,
eval-task-rhsbz7-1784782592,i38_i23_material_i35_teacher_retkl_r80_step6_eval_20260723125618,,2026-07-23T04:56:33Z,
eval-task-i4osm3-1784804919,i39_i35_userab_firstdiv_retkl_r120_step640_V_eval_20260723190834,,2026-07-23T11:08:40Z,
eval-task-03iah7-1784824741,i35_r96_video_boundary_retkl_r112_V1_eval_20260722133009_copy,,2026-07-23T16:39:01Z,
eval-task-bwvd45-1784866180,I-40_V1_eval_20260724120926,,2026-07-24T04:09:40Z,
eval-task-ta9hh9-1784874106,i13增强物料stage1_V1_eval_20260724142135,,2026-07-24T06:21:46Z,
eval-task-11dcyu-1784876180,sota102蒸馏r64_V1_eval_20260724145615,,2026-07-24T06:56:20Z,
eval-task-o1lvb2-1784884615,i41_i35_adonly_future_retkl_r120_step192_V1_eval_20260724171640,,2026-07-24T09:16:56Z,
eval-task-x7h1g2-1784953058,i36sota错误样本续训正确样本保持_V1_eval_20260725121734,,2026-07-25T04:17:39Z,
eval-task-l0aq8a-1784957860,i19sota错误样本续训正确样本保持_V2_eval_20260725133720,,2026-07-25T05:37:40Z,
eval-task-dehmwx-1784958565,i35_r96_video_boundary_retkl_r112_V1_eval_20260722133009_copy,,2026-07-25T05:49:26Z,
eval-task-l7qsmw-1784961390,i13stage1-添加懂物料e2_V1_eval_20260725143625,,2026-07-25T06:36:30Z,
eval-task-ab0nlb-1784963971,I48_V1_eval_20260725151921,,2026-07-25T07:19:31Z,
eval-task-t21up2-1784991844,i50_i23_multiteacher_materialnull_r128_V1_eval_20260725230401,,2026-07-25T15:04:05Z,
eval-task-mszeya-1785003130,i51_i35_material_adlive_multiteacher_r128_V1_eval_20260726021207,,2026-07-25T18:12:11Z,
eval-task-y2934f-1785033451,i13stage1懂物料ep6_V1_eval_20260726103727,,2026-07-26T02:37:31Z,
eval-task-oly7ho-1785035682,data_mixed_user_lora_32r-epoch3_V1_eval_20260726111429,,2026-07-26T03:14:43Z,
eval-task-3dp9h6-1785049271,i52_i35_fullparam_i23mat_i37ad__V1_eval_20260726150103,,2026-07-26T07:01:12Z,
eval-task-bqnlt3-1785055849,i13stage1ep6_V1_eval_20260726165044,,2026-07-26T08:50:49Z,
eval-task-y7crot-1785090366,i53_i35_fable_multigold_r128_V1_eval_20260727022558,,2026-07-26T18:26:06Z,
eval-task-m54cf4-1785129130,i54_i23_joint_action_video_math_r128_v1_V1_eval_20260727131207,,2026-07-27T05:12:10Z,
eval-task-omfbp7-1785134942,i55_i35_mathplus_worldformat_r128_v1_V1_eval_20260727144855,,2026-07-27T06:49:02Z,
eval-task-8xn1qi-1785165649,i19_mathmix_world_875_bothdouble_V1_eval_20260727232044,,2026-07-27T15:20:50Z,
eval-task-cls21y-1785198310,i19_mathmix_world_850_bothdouble_V2_eval_20260728082502,,2026-07-28T00:25:10Z,
eval-task-a191lq-1785208992,i19_world_mathplus_action101_875_doublereten_eval_20260728112252,,2026-07-28T03:23:13Z,
eval-task-0n4d6u-1785215428,i56_i35_step548_selfbeam_r128_v1_V1_eval_20260728131024,,2026-07-28T05:10:28Z,
eval-task-uvjoc1-1785219954,i58_i35_i23_minus_i10_V1_eval_20260728142546,,2026-07-28T06:25:55Z,
eval-task-7m7vau-1785238259,i19_nonkl_action_mathplus_875_V1_eval_20260728193056,,2026-07-28T11:31:00Z,
eval-task-hs3t09-1785291389,i63_i35_adonly_stronghold_r120__V1_eval_20260729101627,,2026-07-29T02:16:30Z,
eval-task-8l83ke-1785292754,i65_i35_i37_gate_tangent_s050_r112_V1_eval_20260729103909,,2026-07-29T02:39:14Z,
eval-task-8kjsh2-1785298964,i13_stage2_actionselect0.875_V1_eval_20260729122241,,2026-07-29T04:22:45Z,
eval-task-kmdq3x-1785303923,i68_i35_math_nothink_cot_r120_V1_eval_20260729134519,,2026-07-29T05:45:23Z,
eval-task-vj60hw-1785309385,i19_sota_actionselect_0.875_V1_eval_20260729151616,,2026-07-29T07:16:25Z,
eval-task-zydjg4-1785339553,I-35_step411_V1_eval_20260729233907,,2026-07-29T15:39:14Z,
eval-task-bqx37j-1785346299,I-70_video_rank-based_RL_V1_eval_20260730013137,,2026-07-29T17:31:40Z,
eval-task-scclii-1785388675,i73_i35_i50_orthres_l025_r128_fp32_V1_eval_20260730131752,,2026-07-30T05:17:56Z,
eval-task-p4ekxd-1785389025,i70_video_grpo_rank_stable_step500_r128_plat_eval_20260730132342,,2026-07-30T05:23:45Z,
